inst_name,plz,ror_id,dfg_inst_id,federal_state
Max-Planck-Institut für Evolutionsbiologie,24306,0534re684,10341,Schleswig-Holstein
Helmholtz-Zentrum hereon GmbH,21502,03qjp1d79,10342,Schleswig-Holstein
Brandenburgische Technische Universität Cottbus-Senftenberg (BTU),03046,02wxx3e24,10344,Brandenburg
Universität Rostock,18055,03zdwsf69,10345,Mecklenburg-Vorpommern
"Hochschule Wismar, University of Applied Sciences: Technology, Business and Design",23966,00s1ckt27,10347,Mecklenburg-Vorpommern
HHL Leipzig Graduate School of Management,04109,00vjd4k74,10348,Sachsen
Technische Universität Bergakademie Freiberg,09599,031vc2293,10349,Sachsen
Universität Leipzig,04109,03s7gtk40,10351,Sachsen
Technische Universität Dresden,01069,042aqky30,10353,Sachsen
Technische Universität Chemnitz,09111,00a208s56,10355,Sachsen
Martin-Luther-Universität Halle-Wittenberg,06108,05gqaka33,10357,Sachsen-Anhalt
Otto-von-Guericke-Universität Magdeburg,39106,00ggpsq73,10359,Sachsen-Anhalt
Technische Universität Ilmenau,98693,01weqhp73,10361,Thüringen
Bauhaus-Universität Weimar,99423,033bb5z47,10362,Thüringen
Friedrich-Schiller-Universität Jena,07743,05qpz1x62,10363,Thüringen
Humboldt-Universität zu Berlin,10099,01hcx6992,10365,Berlin
Forschungsinstitut Edelmetalle und Metallchemie (fem),73525,0086w0z14,10368,Baden-Württemberg
Leibniz-Zentrum für Agrarlandschaftsforschung (ZALF) e.V.,15374,01ygyzs83,10370,Brandenburg
Hochschule für nachhaltige Entwicklung Eberswalde,16225,01ge5zt06,10371,Brandenburg
Fachhochschule Potsdam,14469,012m9bp23,10372,Brandenburg
Filmuniversität Babelsberg Konrad Wolf,14482,,10373,Brandenburg
Deutsches Institut für Ernährungsforschung Potsdam-Rehbrücke (DIfE),14558,05xdczy51,10374,Brandenburg
GFZ Helmholtz-Zentrum für Geoforschung,14473,04z8jg394,10376,Brandenburg
Leibniz-Institut für Agrartechnik und Bioökonomie e.V. (ATB),14469,04d62a771,10377,Brandenburg
Leibniz-Institut für Astrophysik Potsdam (AIP),14482,03mrbr458,10378,Brandenburg
Technische Hochschule Brandenburg,14770,04qj3gf68,10379,Brandenburg
Leibniz-Institut für Raumbezogene Sozialforschung e.V. (IRS),15537,01rkqb281,10380,Brandenburg
Hochschule Neubrandenburg,17033,03b9q7371,10381,Mecklenburg-Vorpommern
Universität Greifswald,17489,00r1edq15,10382,Mecklenburg-Vorpommern
Leibniz-Institut für Plasmaforschung und Technologie e.V. (INP),17489,004hd5y14,10384,Mecklenburg-Vorpommern
Hochschule Stralsund,18435,04g99jx54,10386,Mecklenburg-Vorpommern
Leibniz-Institut für Ostseeforschung Warnemünde (IOW),18119,03xh9nq73,10387,Mecklenburg-Vorpommern
Forschungsinstitut für Nutztierbiologie (FBN),18196,02n5r1g44,10389,Mecklenburg-Vorpommern
Leibniz-Institut für Atmosphärenphysik (IAP),18225,04enhpe73,10390,Mecklenburg-Vorpommern
Hochschule für Grafik und Buchkunst Leipzig,04107,03hzkp562,10391,Sachsen
Hochschule für Musik und Theater Felix Mendelssohn Bartholdy Leipzig,04107,04msbx814,10392,Sachsen
Sächsische Akademie der Wissenschaften zu Leipzig,04107,03zxjdk07,10393,Sachsen
Helmholtz-Zentrum für Umweltforschung (UFZ),04318,000h6jb29,10394,Sachsen
Leibniz-Institut für Oberflächenmodifizierung e.V. (IOM),04318,04vx4mk32,10395,Sachsen
Leibniz-Institut für Troposphärenforschung e.V. (TROPOS),04318,03a5xsc56,10396,Sachsen
Leibniz-Institut für Polymerforschung Dresden (IPF),01069,01tspta37,10397,Sachsen
Leibniz-Institut für ökologische Raumentwicklung (IÖR) e.V.,01217,02t26g637,10398,Sachsen
